step,train_loss,train_bpc,avg_val_loss,avg_val_bpc
1,8.8607816696167,12.783405773155842,,
2,8.450857162475586,12.192009719564505,,
3,8.121389389038086,11.716688196693495,,
4,7.856558799743652,11.334618418842714,,
5,7.653108596801758,11.04110181999059,,
6,7.491147041320801,10.80744068708355,,
7,7.3895440101623535,10.660858497891972,,
8,7.237534523010254,10.441555164609563,,
9,7.198858261108398,10.385757113363633,,
10,7.09792423248291,10.240140090808696,,
11,7.019969940185547,10.127675819895282,,
12,6.9321136474609375,10.0009259820706,,
13,6.84450101852417,9.874527676784279,,
14,6.836216449737549,9.862575570479917,,
15,6.743480682373047,9.728786138790118,,
16,6.664773941040039,9.615236313384457,,
17,6.5806732177734375,9.493904616992555,,
18,6.5604963302612305,9.46479552143812,,
19,6.432526111602783,9.280173521598103,,
20,6.4537835121154785,9.310841467899959,,
21,6.357799530029297,9.17236585293945,,
22,6.3142499923706055,9.109537150926247,,
23,6.309591293334961,9.10281606893053,,
24,6.287741661071777,9.071293712819188,,
25,6.23021125793457,8.988294885512795,,
26,6.163235664367676,8.891669528813242,,
27,6.120344161987305,8.829790171032803,,
28,6.193655490875244,8.935556061660414,,
29,6.0765910148620605,8.766667722651928,,
30,6.1146240234375,8.821537755513802,,
31,6.13203239440918,8.8466527259846,,
32,6.093806266784668,8.791504081228329,,
33,6.021753311157227,8.687553639463227,,
34,6.074843406677246,8.764146456990279,,
35,6.022461891174316,8.688575904339954,,
36,5.9528350830078125,8.588125653485212,,
37,5.99886417388916,8.65453159463636,,
38,5.998103618621826,8.653434345323856,,
39,5.929306507110596,8.554181093719118,,
40,5.99025821685791,8.642115823105271,,
41,6.054643630981445,8.735004340766878,,
42,5.960241794586182,8.59881127954862,,
43,5.929332733154297,8.554218929902309,,
44,5.99787712097168,8.653107578287216,,
45,5.945358753204346,8.5773395895537,,
46,5.900785446166992,8.51303390053489,,
47,5.971702575683594,8.61534569160257,,
48,5.906305313110352,8.52099738520044,,
49,5.883175849914551,8.487628623349435,,
50,5.829327583312988,8.409941996162894,,
51,5.919017791748047,8.539337615088451,,
52,5.8810834884643555,8.48460998386149,,
53,5.85286283493042,8.443896186957437,,
54,5.954832077026367,8.591006706852466,,
55,5.931138038635254,8.556823435166974,,
56,5.835715293884277,8.419157514526727,,
57,5.866759300231934,8.463944548533815,,
58,5.953758239746094,8.589457487133494,,
59,5.953156471252441,8.588589318711938,,
60,5.914149284362793,8.532313843627213,,
61,5.888988494873047,8.496014497405506,,
62,5.921197414398193,8.542482145876827,,
63,5.909617900848389,8.525776439102616,,
64,5.888232231140137,8.494923439468431,,
65,5.8227643966674805,8.40047331933699,,
66,5.810412406921387,8.382653164985191,,
67,5.814464092254639,8.388498511322716,,
68,5.855226993560791,8.447306946889348,,
69,5.811959266662598,8.384884811862786,,
70,5.879745960235596,8.48268033851881,,
71,5.853457450866699,8.44475403641994,,
72,5.875481128692627,8.476527487201542,,
73,5.796202659606934,8.362152833002344,,
74,5.872949600219727,8.47287526362782,,
75,5.8458251953125,8.4337430191811,,
76,5.815799236297607,8.39042471701238,,
77,5.817728519439697,8.393208084233942,,
78,5.893357276916504,8.502317317594326,,
79,5.828481674194336,8.408721607272371,,
80,5.8382062911987305,8.422751263999157,,
81,5.980241298675537,8.627664464918572,,
82,5.797539710998535,8.36408179041442,,
83,5.858630657196045,8.452217395536783,,
84,5.9115095138549805,8.528505459806507,,
85,5.871061325073242,8.470151058438153,,
86,5.908254623413086,8.523809645507349,,
87,5.8751325607299805,8.47602460993042,,
88,5.816652297973633,8.391655424861954,,
89,5.843507766723633,8.430399676448326,,
90,5.903643608093262,8.517157356571976,,
91,5.906250476837158,8.520918273181044,,
92,5.854179382324219,8.445795563353565,,
93,5.855329513549805,8.44745485196909,,
94,5.855318069458008,8.447438341634607,,
95,5.834466934204102,8.417356512206892,,
96,5.890695095062256,8.498476601035257,,
97,5.794988632202148,8.360401361685957,,
98,5.819805145263672,8.396204022011974,,
99,5.916134357452393,8.535177698729381,,
100,5.812902450561523,8.386245538596413,,
101,5.880432605743408,8.48367095858778,,
102,5.8499755859375,8.43973076715354,,
103,5.9131622314453125,8.53088982727807,,
104,5.891411781311035,8.499510560732245,,
105,5.784448623657227,8.345195343627271,,
106,5.706452369689941,8.232670534820752,,
107,5.854914665222168,8.446856352344087,,
108,5.790043354034424,8.353266833397564,,
109,5.837653160095215,8.421953264499153,,
110,5.820786476135254,8.397619783193875,,
111,5.881448745727539,8.485136938703734,,
112,5.800014495849609,8.367652150246332,,
113,5.791471481323242,8.3553271855549,,
114,5.808714866638184,8.380204132036905,,
115,5.9115190505981445,8.528519218418577,,
116,5.821474075317383,8.398611779124053,,
117,5.804906368255615,8.374709630307139,,
118,5.864402770996094,8.46054479549156,,
